OPTION UNITS,MEASURE HIP_Circ,MEASURE Seat_Back_Angle,MEASURE Calf_Left,MEASURE Calf_Right,MEASURE Across_Back,MEASURE NeckBase_Circ,MEASURE CHEST_Circ,MEASURE Neck_Circ,MEASURE TrouserWaist_Height_Back,MEASURE TrouserWAIST_Circ,MEASURE MaxWAIST_Circ,MEASURE Shoulder_to_Shoulder,MEASURE Across_Front,MEASURE CrotchLength_Front,MEASURE CrotchLength_Back,MEASURE Thigh_Circ,MEASURE Knee_Circ,MEASURE Calf_Circ,MEASURE Outseam,MEASURE Inseam,MEASURE Knee_Height,MEASURE Shoulder_Length,MEASURE Shoulder_to_Wrist,MEASURE Bicep_Circ,MEASURE Elbow_Circ,MEASURE Wrist_Circ,MEASURE Shoulder_Slope_Left,MEASURE Shoulder_Slope_Right,MEASURE Joints,MEASURE Landmarks,MEASURE CROTCH_Height,MEASURE Head_Top_Height,MEASURE NECK_Height,MEASURE MaxWaist_Height,MEASURE TrouserWaist_Height_Front,MEASURE Ankle_Girth_Left,MEASURE Ankle_Girth_Right,MEASURE Calf_Height,MEASURE Ankle_Height,MEASURE Ankle_Circ,MEASURE Thigh_Height,MEASURE Shoulder_Width_thruTheBody,MEASURE Hip_Width_ThruTheBody,MEASURE Overarm_Width_ThruTheBody,filename
cm,108.1,18.8,40.2,40.3,39.7,43.9,112.1,39.8,111.6,97.4,98.1,48.3,46.4,28.0,36.1,61.7,41.0,40.3,108.0,84.4,31.0,14.7,62.6,35.6,29.4,17.8,5.5,5.6,18.0,27.0,83.1,182.1,162.1,115.1,109.6,29.2,27.4,46.0,74.0,28.3,4.0,40.9,45.0,48.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0099.txt
cm,92.9,18.7,36.5,36.5,36.8,41.1,100.7,38.4,108.3,87.8,90.0,42.4,39.7,23.0,32.3,53.3,38.4,36.5,105.1,84.8,31.5,12.7,61.2,32.1,26.7,16.1,3.4,3.8,18.0,27.0,84.0,178.0,157.5,108.0,106.3,27.6,27.9,47.5,75.1,27.7,4.0,37.3,38.9,46.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0100.txt
cm,100.5,17.4,38.7,39.7,36.8,39.5,100.5,36.5,101.7,87.9,86.7,43.4,40.9,23.1,31.3,59.2,38.0,39.2,98.9,80.5,29.5,14.2,60.6,32.3,27.1,17.9,5.6,5.9,18.0,27.0,79.4,169.4,150.2,103.4,99.7,27.6,27.9,45.0,71.2,27.7,3.5,37.1,40.1,45.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0101.txt
cm,95.2,22.1,36.2,37.0,39.0,42.7,101.6,39.2,106.8,83.9,83.9,42.3,39.0,25.7,31.9,54.8,36.8,36.6,104.5,83.0,31.0,12.3,61.4,31.1,26.1,16.3,5.9,3.9,18.0,27.0,82.0,171.5,152.8,112.0,104.8,26.5,27.2,46.0,73.0,26.8,4.0,37.0,37.6,46.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0102.txt
cm,104.1,27.0,37.8,37.4,40.5,42.6,113.8,49.8,95.5,99.3,105.4,46.9,42.9,25.0,36.4,58.6,38.0,37.6,90.9,70.3,25.0,13.5,52.4,37.0,28.9,17.3,6.1,7.6,18.0,27.0,69.0,156.7,136.7,99.0,93.5,24.2,25.2,36.0,60.9,24.7,3.0,39.2,39.4,48.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0103.txt
cm,96.2,19.6,36.4,35.8,37.1,40.6,101.9,38.9,98.9,87.9,90.6,42.2,40.3,24.7,31.9,54.4,35.6,36.1,96.0,76.7,28.5,13.8,55.5,30.3,24.2,15.9,5.8,4.8,18.0,27.0,75.5,163.6,145.0,101.5,96.9,24.2,24.8,41.5,67.0,24.5,4.0,37.6,36.3,43.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0104.txt
cm,108.0,18.4,39.8,38.9,46.2,42.0,117.8,39.9,98.0,97.1,100.1,49.5,43.1,25.6,35.2,60.2,40.5,39.3,94.1,74.6,26.5,16.2,57.0,39.3,29.4,18.4,5.8,5.8,18.0,27.0,72.0,164.9,145.0,102.5,96.0,27.5,27.2,38.0,63.9,27.4,4.0,41.9,42.8,51.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0105.txt
cm,90.6,18.0,35.1,34.4,38.8,38.3,98.5,35.2,96.7,81.0,82.1,40.9,37.5,24.4,32.8,46.8,33.9,34.7,93.9,73.2,25.0,12.8,55.0,29.7,23.5,16.4,5.7,5.3,18.0,27.0,72.1,159.7,141.8,101.6,94.7,24.8,26.2,40.0,63.5,25.5,4.0,35.5,34.5,43.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0106.txt
cm,86.6,18.2,32.8,32.3,35.6,39.5,94.3,36.2,114.9,77.7,70.6,38.7,37.5,24.2,29.3,48.2,35.6,32.5,111.8,91.5,35.5,12.1,65.0,28.9,23.6,15.3,3.3,4.0,18.0,27.0,90.6,183.0,161.6,126.1,114.7,26.4,26.3,50.5,81.6,26.4,4.5,35.3,35.5,42.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0107.txt
cm,102.4,19.7,37.5,36.1,39.7,43.7,110.0,40.8,110.3,87.1,90.9,45.4,43.9,27.7,36.4,56.7,37.3,36.8,107.9,83.4,32.0,13.2,65.5,35.5,27.9,16.9,5.2,5.3,18.0,27.0,82.7,178.5,158.9,115.7,108.3,25.2,25.7,46.5,73.2,25.4,4.0,38.6,40.8,48.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0108.txt
cm,106.9,21.7,40.3,40.2,42.6,44.1,117.1,41.6,106.8,98.8,102.2,46.5,47.4,26.6,35.7,59.9,40.9,40.2,102.4,80.9,29.0,14.5,62.6,35.6,27.8,17.4,5.7,4.7,18.0,27.0,80.2,173.6,155.5,110.2,104.8,29.9,28.5,43.0,72.1,29.2,4.0,40.6,40.3,48.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0109.txt
cm,109.8,19.0,39.2,40.3,42.4,40.7,115.3,37.8,113.5,96.6,97.8,48.5,43.9,26.5,35.5,66.0,41.7,39.8,110.9,88.9,33.0,15.9,67.4,38.9,29.3,17.9,6.2,6.3,18.0,27.0,88.0,186.1,167.7,113.5,111.5,27.9,27.7,48.5,79.1,27.8,4.0,40.8,43.4,48.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0110.txt
cm,101.5,17.2,38.0,37.7,38.7,41.3,109.4,37.9,102.0,90.0,89.5,47.7,43.4,24.8,33.5,58.9,38.3,37.9,99.0,80.7,30.5,15.5,58.4,33.6,26.2,17.3,5.0,6.2,18.0,27.0,79.3,166.2,146.6,105.8,100.0,24.9,26.6,44.5,71.4,25.7,3.5,41.2,38.3,48.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0111.txt
cm,110.4,28.7,41.9,41.6,39.7,42.7,109.7,39.7,103.1,95.0,97.9,46.9,45.7,26.7,35.3,65.6,42.8,41.8,100.0,79.6,30.0,14.9,60.3,37.2,29.6,18.9,4.5,4.6,18.0,27.0,78.8,172.0,153.3,102.3,101.1,28.6,29.0,43.5,68.7,28.8,4.0,41.7,41.5,48.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0112.txt
cm,97.6,16.5,36.1,37.3,34.1,40.4,93.7,34.9,106.8,87.8,82.9,38.7,35.4,24.2,32.8,53.2,37.2,36.7,104.0,84.1,31.5,11.5,60.5,31.3,24.2,15.3,4.4,4.7,18.0,27.0,83.3,174.7,154.0,112.3,106.3,23.0,22.7,47.5,76.5,22.9,4.0,34.1,38.8,39.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0113.txt
cm,107.2,29.1,41.8,42.0,40.9,41.5,124.4,39.8,97.7,100.6,103.4,49.0,46.7,26.1,33.6,64.5,42.5,41.9,94.9,76.1,29.0,15.3,56.0,37.5,31.7,19.3,7.2,5.9,18.0,27.0,75.2,171.0,151.7,103.2,95.7,30.4,27.8,40.0,66.4,29.1,4.0,40.3,41.5,48.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0114.txt
cm,107.2,29.1,41.8,42.0,40.9,41.5,124.4,39.8,97.7,100.6,103.4,49.0,46.7,26.1,33.6,64.5,42.5,41.9,94.9,76.1,29.0,15.3,56.0,37.5,31.7,19.3,7.2,5.9,18.0,27.0,75.2,171.0,151.7,103.2,95.7,30.4,27.8,40.0,66.4,29.1,4.0,40.3,41.5,48.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0115.txt
cm,100.8,21.8,34.6,34.9,40.6,41.3,99.4,38.2,103.0,84.5,81.1,43.2,39.2,26.5,33.4,57.0,37.1,34.7,100.4,78.6,28.5,13.0,57.1,34.1,28.0,16.8,5.7,4.3,18.0,27.0,77.5,169.7,151.2,113.0,102.8,25.7,26.5,42.0,68.7,26.1,4.0,37.1,40.3,44.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0116.txt
cm,104.1,15.5,37.7,38.3,43.0,44.5,114.2,41.3,102.9,100.6,99.8,49.9,44.4,28.9,33.5,60.0,37.8,38.0,100.1,79.9,30.0,15.6,59.1,32.9,27.1,17.4,6.4,5.9,18.0,27.0,78.5,167.7,149.9,105.0,102.7,26.0,25.6,43.0,70.3,25.8,4.0,42.1,38.4,50.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0117.txt
cm,99.4,18.3,37.1,36.6,38.5,38.1,103.5,35.9,104.2,85.5,87.0,43.4,42.8,26.4,32.6,58.9,37.3,36.8,101.7,82.8,32.5,15.2,61.3,32.3,26.5,17.1,7.1,7.1,18.0,27.0,80.1,166.3,148.3,104.6,102.2,25.9,26.8,44.0,72.3,26.4,4.5,37.5,40.6,44.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0118.txt
cm,101.1,22.9,37.6,37.9,38.9,40.3,111.4,39.2,101.9,89.9,92.8,47.9,44.3,23.6,32.1,56.2,37.3,37.8,99.3,79.0,29.0,16.0,59.5,35.2,28.0,17.3,5.9,6.1,18.0,27.0,78.0,174.6,151.8,107.0,99.9,27.9,27.0,43.5,69.8,27.5,4.0,40.1,39.3,50.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0119.txt
cm,101.1,23.1,37.1,37.6,43.6,41.0,109.9,39.4,108.7,94.5,99.5,46.4,40.1,24.7,33.9,59.0,37.2,37.3,105.1,84.2,32.0,15.0,62.8,36.6,26.7,16.5,5.7,4.6,18.0,27.0,83.1,176.9,158.3,113.1,106.7,25.5,25.4,47.0,74.6,25.4,4.0,39.2,41.1,49.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0120.txt
cm,101.1,25.8,37.3,37.0,38.6,41.2,101.8,37.1,107.7,87.7,80.6,46.9,42.2,27.2,34.7,58.9,38.4,37.1,104.7,83.5,33.0,14.6,61.1,31.9,27.6,17.8,5.7,5.7,18.0,27.0,82.7,176.7,155.9,114.2,107.5,26.7,26.9,47.0,73.9,26.8,4.0,40.3,38.8,51.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0121.txt
cm,98.7,23.9,38.0,38.0,37.9,42.1,104.9,38.1,104.4,81.6,80.2,43.0,40.7,25.3,35.2,59.5,36.8,38.0,101.8,79.5,29.5,12.1,57.7,33.0,26.1,16.1,5.6,6.1,18.0,27.0,78.4,171.8,152.7,108.4,102.4,26.8,25.6,43.5,70.6,26.2,4.0,35.8,39.2,44.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0122.txt
cm,104.2,25.1,37.0,37.5,37.8,38.1,104.4,35.7,101.7,91.1,89.5,44.8,41.8,28.1,35.6,56.7,38.2,37.3,98.8,76.7,28.5,14.2,55.2,32.0,26.6,16.8,4.6,4.5,18.0,27.0,75.5,165.5,146.8,106.0,99.7,25.2,25.3,42.0,67.0,25.3,4.0,38.1,39.3,46.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0123.txt
cm,110.0,14.7,37.6,39.2,43.4,45.5,122.4,43.1,114.1,107.3,114.1,50.8,45.7,26.3,35.8,61.4,41.1,38.4,109.7,89.4,32.5,16.4,65.0,38.6,30.0,17.7,5.6,3.2,18.0,27.0,88.5,187.0,169.0,119.5,112.1,28.5,28.1,48.0,79.4,28.3,4.0,43.9,41.3,51.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0124.txt
cm,108.7,22.0,40.7,40.9,42.2,45.7,110.8,43.3,110.1,101.4,100.2,49.0,44.9,27.3,35.6,61.0,41.4,40.8,105.9,84.1,31.5,15.5,62.4,32.6,29.0,18.2,4.2,5.4,18.0,27.0,82.9,178.1,160.2,114.9,109.9,27.3,28.7,45.5,74.2,28.0,4.0,42.7,40.3,50.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0125.txt
cm,108.4,21.0,40.9,40.9,42.4,43.8,116.5,41.5,109.7,103.4,107.3,51.7,46.9,27.9,35.8,62.8,40.1,40.9,106.0,85.3,31.0,16.6,63.6,37.1,28.9,18.4,4.9,5.0,18.0,27.0,84.2,178.7,162.2,114.2,107.7,30.0,29.6,47.0,76.2,29.8,4.0,43.4,41.9,50.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0126.txt
cm,99.1,20.5,38.1,37.4,35.6,42.6,99.4,39.0,101.6,87.9,90.1,44.0,40.8,27.1,34.5,57.9,36.2,37.8,98.7,77.1,28.5,13.0,56.4,32.0,26.3,15.7,5.0,6.7,18.0,27.0,76.0,166.7,146.5,106.5,99.6,25.9,26.3,42.0,69.0,26.1,4.0,37.8,36.8,43.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0127.txt
cm,98.5,16.8,35.3,35.3,38.9,42.7,99.9,38.1,102.4,85.1,81.5,43.7,40.2,26.4,34.4,52.5,36.7,35.3,99.3,76.1,28.0,13.2,57.2,31.3,25.7,16.4,6.7,6.2,18.0,27.0,75.0,169.3,149.0,112.0,101.4,25.3,24.2,42.0,66.8,24.7,4.0,37.1,38.3,45.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0128.txt
cm,95.1,22.1,34.3,34.9,37.2,38.7,100.2,36.4,98.4,83.5,85.6,44.2,40.2,22.7,32.5,53.7,34.3,34.6,94.9,76.2,29.5,13.9,55.8,32.1,26.3,16.8,5.4,4.8,18.0,27.0,74.8,163.8,144.6,97.8,96.4,25.9,24.8,43.0,66.8,25.3,3.5,37.8,38.5,44.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0129.txt
cm,104.1,17.5,39.5,39.5,35.8,40.2,108.7,37.7,104.9,94.2,95.6,44.0,44.8,25.8,34.7,62.4,39.7,39.5,102.2,81.4,30.0,14.1,59.4,35.8,27.4,16.3,6.0,6.3,18.0,27.0,80.0,177.9,157.8,108.1,102.9,27.4,28.1,43.5,71.5,27.8,4.0,38.5,39.9,46.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0130.txt
cm,99.1,22.4,37.1,36.2,38.4,39.1,92.1,35.5,104.9,83.2,78.9,43.9,39.6,24.3,31.5,55.9,36.6,36.6,102.3,82.4,33.0,14.9,61.1,31.6,25.0,16.6,5.6,3.9,18.0,27.0,81.3,169.4,152.3,109.8,103.0,26.0,24.3,47.5,72.9,25.2,4.0,38.6,39.7,47.8,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0131.txt
cm,103.8,26.6,38.3,37.5,37.0,41.1,113.1,39.3,100.5,93.0,87.8,47.1,47.5,25.4,36.9,60.2,38.8,37.9,96.8,76.3,28.0,15.3,59.2,38.3,30.4,17.8,6.1,5.8,18.0,27.0,75.0,169.7,150.5,111.0,98.5,27.1,25.7,40.5,66.1,26.4,4.0,40.7,39.6,47.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0132.txt
cm,86.8,19.1,33.7,34.8,39.3,34.1,92.0,37.9,98.6,77.7,72.7,43.1,37.1,23.1,28.6,48.1,33.6,34.3,95.8,77.1,29.0,14.6,58.0,24.4,22.5,15.6,5.7,5.0,18.0,27.0,76.0,163.1,142.5,103.5,98.4,26.7,24.8,43.5,68.2,25.8,4.0,37.2,35.2,43.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0133.txt
cm,98.0,15.0,37.4,38.3,38.6,43.8,97.6,39.0,113.5,88.7,79.1,43.1,38.9,27.0,33.7,56.5,39.5,37.9,110.8,90.0,33.5,12.9,64.3,31.1,25.6,17.1,4.1,4.6,18.0,27.0,89.0,185.6,166.0,118.5,113.3,26.9,26.6,47.5,78.9,26.7,4.0,37.2,40.6,45.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0134.txt
cm,94.8,21.8,35.8,35.3,40.8,40.3,106.5,37.1,100.0,91.1,91.9,45.8,44.2,24.9,32.2,52.3,36.4,35.6,97.0,78.5,27.0,14.0,58.9,30.8,25.2,16.9,4.4,5.3,18.0,27.0,77.4,166.1,147.7,103.9,98.0,26.5,26.2,44.0,68.4,26.4,4.0,39.8,37.6,49.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0135.txt
cm,116.6,22.3,41.4,41.8,42.6,41.8,124.6,40.2,106.4,102.8,109.1,50.9,46.2,26.9,36.2,69.3,41.3,41.6,103.8,82.8,31.0,17.7,60.9,44.6,32.7,18.2,6.0,6.2,18.0,27.0,81.8,176.7,159.6,112.3,104.4,26.9,27.5,44.0,73.3,27.2,4.0,44.0,44.2,51.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0136.txt
cm,105.8,19.1,38.9,38.6,39.1,47.2,102.6,40.9,107.3,91.4,91.1,45.8,40.6,28.7,37.3,60.0,38.5,38.8,104.6,82.3,30.0,14.7,60.1,37.4,28.4,17.1,6.3,7.2,18.0,27.0,80.3,174.7,154.8,105.3,107.1, *** Error ***, *** Error ***,44.5,580.3,-0.1,4.0,39.7,39.6,48.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0137.txt
cm,100.1,13.8,34.8,35.1,37.9,42.0,105.1,39.1,103.1,91.8,91.4,44.2,42.3,24.7,29.9,55.1,38.0,34.9,100.3,81.2,31.0,14.2,61.2,32.0,25.8,17.8,6.6,5.9,18.0,27.0,80.1,175.9,156.3,106.1,101.1,27.6,28.4,43.0,71.3,28.0,4.0,37.6,39.4,45.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0138.txt
cm,87.8,18.8,35.6,35.5,35.2,35.7,93.8,33.9,97.1,77.2,76.0,39.2,39.2,24.4,31.2,51.6,34.1,35.5,94.5,75.2,28.0,12.9,54.8,27.5,23.2,15.7,4.1,4.6,18.0,27.0,74.1,156.8,137.6,101.1,96.7,25.1,25.6,42.0,66.6,25.4,4.0,35.0,36.3,41.1,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0139.txt
cm,108.0,19.4,41.0,40.9,39.0,42.5,112.8,39.1,113.1,97.5,102.7,46.7,48.1,28.7,35.1,57.6,41.6,40.9,110.1,86.9,33.5,14.8,59.7,33.1,28.7,17.4,4.9,4.4,18.0,27.0,86.1,185.4,166.4,118.6,111.1,28.3,27.1,48.5,75.2,27.7,4.0,41.2,42.7,48.7,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0140.txt
cm,98.4,18.2,37.3,37.5,41.2,41.6,105.3,39.2,103.0,91.1,91.8,45.9,40.0,24.8,33.4,55.3,36.5,37.4,100.0,79.0,30.0,16.0,64.0,34.4,26.2,17.3,6.1,7.0,18.0,27.0,78.4,172.2,154.2,104.4,101.0,25.6,25.1,45.0,69.3,25.3,4.0,38.8,37.0,47.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0141.txt
cm,105.5,21.9,40.3,40.5,42.6,43.0,118.5,41.9,111.6,98.1,101.7,48.7,44.9,28.2,36.7,63.8,40.8,40.4,107.6,86.1,32.0,16.1,63.5,38.4,30.6,18.9,6.0,4.0,18.0,27.0,84.9,173.8,158.6,114.9,109.6,28.1,28.6,49.0,76.5,28.4,4.0,42.0,40.7,50.3,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0142.txt
cm,102.5,14.2,35.7,37.1,40.8,43.2,108.5,39.9,113.9,93.2,94.3,35.9,33.2,27.8,32.6,52.4,37.1,36.4,111.0,88.6,33.0,10.3,72.0,33.2,27.6,17.3,4.7,2.5,18.0,27.0,88.3,179.5,160.3,114.3,111.9,27.4,26.9,51.0,78.7,27.1,4.0,32.1,38.0,46.6,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0143.txt
cm,99.2,19.1,37.8,38.6,38.8,38.7,114.9,36.7,97.1,85.8,85.0,44.0,44.4,24.8,31.7,57.6,38.0,38.2,94.4,74.2,27.5,13.9,56.9,32.9,26.6,16.8,4.6,4.1,18.0,27.0,73.1,162.3,142.1,99.6,95.1,27.1,25.5,40.5,64.7,26.3,3.5,38.1,37.9,46.4,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0144.txt
cm,98.8,20.3,38.1,37.2,36.6,40.3,93.8,36.8,111.0,83.5,76.7,41.9,38.1,28.2,34.2,55.8,38.1,37.7,108.5,84.7,31.0,13.6,62.5,32.9,26.5,17.3,4.6,5.4,18.0,27.0,83.5,175.8,157.0,117.5,110.8,27.9,28.8,47.0,74.1,28.3,4.0,37.5,39.9,45.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0145.txt
cm,94.3,24.2,36.1,36.3,35.6,39.6,93.0,36.5,102.0,82.5,81.6,42.9,38.3,24.6,30.9,53.6,36.6,36.2,99.3,80.8,31.0,13.2,58.5,29.1,24.4,15.6,5.2,4.8,18.0,27.0,79.5,169.0,150.0,104.0,100.0,25.4,25.8,46.0,70.0,25.6,4.0,36.5,36.9,44.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0146.txt
cm,109.4,21.1,38.4,38.6,38.9,43.8,108.2,41.3,99.8,103.3,103.7,47.5,44.5,26.2,36.1,60.2,41.8,38.5,95.4,73.5,25.5,15.1,58.6,36.3,29.2,18.1,5.6,5.3,18.0,27.0,72.5,163.7,146.3,102.6,99.6,26.8,28.0,37.5,66.4,27.4,4.0,41.6,41.6,48.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0147.txt
cm,101.9,18.1,37.4,37.8,36.2,43.6,106.3,40.5,108.1,91.8,94.3,46.4,45.0,26.8,34.4,52.5,36.8,37.6,104.8,83.7,31.5,15.4,60.6,30.4,27.2,17.4,7.8,7.3,18.0,27.0,82.5,174.6,155.5,107.5,106.1,26.6,28.7,46.0,73.8,27.6,4.5,39.2,38.2,46.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0148.txt
cm,101.3,15.5,37.6,38.4,36.5,40.4,102.1,37.6,108.9,92.3,93.2,42.0,39.8,25.9,31.9,58.8,39.3,38.0,106.3,85.3,32.0,13.7,62.2,32.8,26.4,16.8,2.9,4.6,18.0,27.0,84.5,176.7,159.0,114.0,106.9,28.7,26.7,45.0,75.7,27.7,4.0,37.9,39.5,43.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0149.txt
cm,104.0,17.1,39.4,40.5,45.3,43.8,117.2,41.1,103.3,99.7,107.8,52.3,47.9,27.1,34.1,54.5,39.9,39.9,100.8,78.1,28.0,17.6,57.8,33.6,28.8,18.3,6.5,6.0,18.0,27.0,77.0,172.4,152.5,108.0,101.3,27.0,26.9,40.5,68.0,26.9,4.0,43.0,37.8,52.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0150.txt
cm,109.9,19.4,39.8,39.5,41.2,44.3,113.6,40.7,108.9,102.4,104.3,47.2,42.8,27.7,35.9,58.4,41.6,39.7,105.7,84.4,32.0,14.0,62.7,32.8,28.0,18.2,5.8,6.0,18.0,27.0,83.2,180.6,160.4,109.2,106.9,29.2,28.7,46.5,73.7,29.0,4.0,39.6,41.6,48.2,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0151.txt
cm,101.2,16.1,40.2,40.6,45.1,41.0,103.7,36.6,115.8,91.9,85.8,48.4,40.4,25.9,32.8,56.8,40.4,40.4,112.6,91.5,35.5,14.9,69.4,30.2,25.7,17.0,6.4,6.5,18.0,27.0,91.0,185.3,168.0,121.0,114.8,28.4,30.2,53.5,81.6,29.3,4.5,39.7,39.5,49.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0152.txt
cm,96.5,25.8,34.2,34.7,40.4,41.3,103.0,38.4,96.8,82.2,77.9,44.2,38.6,23.8,32.5,54.5,36.9,34.4,94.2,74.7,26.5,13.5,57.2,33.5,27.3,17.2,5.8,5.6,18.0,27.0,73.3,164.3,143.5,103.8,94.8,26.1,27.7,40.5,64.9,26.9,4.0,37.7,38.8,45.9,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0153.txt
cm,96.0,17.1,35.0,35.1,40.4,41.5,102.7,39.3,94.1,86.2,88.8,44.0,39.1,26.7,32.8,52.8,36.4,35.0,90.9,69.5,24.5,13.5,52.6,32.2,27.2,16.8,5.9,5.8,18.0,27.0,68.5,160.2,139.8,97.5,92.1,25.7,27.7,37.5,60.3,26.7,3.0,36.4,37.0,44.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0154.txt
cm,103.0,20.5,37.7,38.3,37.0,38.0,100.3,35.7,104.4,87.2,79.4,45.0,40.1,25.6,32.0,57.7,37.1,38.0,101.8,81.6,30.0,14.3,59.9,31.3,25.5,16.5,5.5,6.3,18.0,27.0,80.4,177.3,154.9,112.4,103.9,26.5,26.1,45.0,71.6,26.3,4.0,36.9,40.1,46.0,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0155.txt
cm,97.9,14.7,35.4,35.1,38.7,38.8,100.9,35.2,102.1,86.8,89.4,47.0,40.0,25.4,32.2,50.5,35.6,35.2,99.7,77.4,27.5,14.8,58.0,30.3,24.7,15.7,5.9,6.2,18.0,27.0,76.7,168.2,149.7,103.7,100.1,26.0,24.5,40.5,68.9,25.2,4.0,39.0,38.1,46.5,/content/drive/MyDrive/Nomo/male_TC2Meas_txt/male_TC2Meas_txt/male_0156.txt
